algorithm,data_order,data_size,running_time_ms,comparisons
selection-sort,Sorted,10000,1913.5359999999935,100009999
insertion-sort,Sorted,10000,2.5990000000035707,39997
binary-insertion-sort,Sorted,10000,9.338000000013835,277232
bubble-sort,Sorted,10000,2532.049900000004,100010001
shaker-sort,Sorted,10000,2.4080000000026303,39999
shell-sort,Sorted,10000,6.976000000008753,159949
heap-sort,Sorted,10000,32.107599999989134,656322
merge-sort,Sorted,10000,20.717700000005834,252619
quick-sort,Sorted,10000,4776.8350000000055,100009998
counting-sort,Sorted,10000,2.712699999989354,40002
radix-sort,Sorted,10000,10.323800000008987,80094
flash-sort,Sorted,10000,8.861400000000685,158991
selection-sort,Sorted,30000,20640.093699999994,900029999
insertion-sort,Sorted,30000,5.676999999991494,119997
binary-insertion-sort,Sorted,30000,42.98649999998361,924464
bubble-sort,Sorted,30000,26946.671199999968,900030001
shaker-sort,Sorted,30000,4.932800000005955,119999
shell-sort,Sorted,30000,21.066399999995156,479949
heap-sort,Sorted,30000,108.07660000000396,2200900
merge-sort,Sorted,30000,67.78739999998606,824955
quick-sort,Sorted,30000,45778.5475,900029998
counting-sort,Sorted,30000,9.551600000008875,120002
radix-sort,Sorted,30000,37.14030000003277,300117
flash-sort,Sorted,30000,25.730899999985013,476991
selection-sort,Sorted,50000,71628.55679999996,2500049999
insertion-sort,Sorted,50000,8.600899999976264,199997
binary-insertion-sort,Sorted,50000,76.14460000002055,1618928
bubble-sort,Sorted,50000,87327.48230000005,2500050001
shaker-sort,Sorted,50000,7.613600000013321,199999
shell-sort,Sorted,50000,34.68309999999519,799949
heap-sort,Sorted,50000,184.91829999999254,3863650
merge-sort,Sorted,50000,112.92429999997466,1436411
quick-sort,Sorted,50000,122516.30099999999,2500049998
counting-sort,Sorted,50000,19.894300000032672,200002
radix-sort,Sorted,50000,88.43820000004143,500117
flash-sort,Sorted,50000,65.93390000000454,794991
selection-sort,Sorted,100000,290550.18399999995,10000099999
insertion-sort,Sorted,100000,16.113700000005338,399997
binary-insertion-sort,Sorted,100000,153.31270000001496,3437856
bubble-sort,Sorted,100000,341415.9168,10000100001
shaker-sort,Sorted,100000,14.287100000046848,399999
shell-sort,Sorted,100000,68.42300000016621,1599949
heap-sort,Sorted,100000,391.32360000007793,8231838
merge-sort,Sorted,100000,240.35590000016782,3022827
quick-sort,Sorted,100000,484819.72500000003,10000099998
counting-sort,Sorted,100000,37.35699999992903,400002
radix-sort,Sorted,100000,123.94610000001194,1000117
flash-sort,Sorted,100000,87.37380000002304,1589991
selection-sort,Sorted,300000,2362835.1603000006,90000299999
insertion-sort,Sorted,300000,50.9516000001895,1199997
binary-insertion-sort,Sorted,300000,511.5280999998504,11251424
bubble-sort,Sorted,300000,3039181.5259000002,90000300001
shaker-sort,Sorted,300000,40.608899999824644,1199999
shell-sort,Sorted,300000,200.04100000005565,4799949
heap-sort,Sorted,300000,1303.9762999997038,27051928
merge-sort,Sorted,300000,775.7932000004075,9772971
quick-sort,Sorted,300000,4325858.791099999,90000299998
counting-sort,Sorted,300000,84.06020000074932,1200002
radix-sort,Sorted,300000,414.74660000130825,3600140
flash-sort,Sorted,300000,255.40280000132043,4769991
selection-sort,Sorted,500000,6579462.795500002,250000499999
insertion-sort,Sorted,500000,70.51669999782462,1999997
binary-insertion-sort,Sorted,500000,890.822899997147,19451424
bubble-sort,Sorted,500000,8453700.139600001,250000500001
shaker-sort,Sorted,500000,65.32629999855999,1999999
shell-sort,Sorted,500000,335.9415999984776,7999949
heap-sort,Sorted,500000,2360.2065999984916,46856150
merge-sort,Sorted,500000,1291.6852999987896,16758923
quick-sort,Sorted,500000,12037747.429499999,250000499998
counting-sort,Sorted,500000,140.18599999690196,2000002
radix-sort,Sorted,500000,734.7661000021617,6000140
flash-sort,Sorted,500000,428.08330000116257,7949991
selection-sort,Nearly Sorted,10000,1882.640599993465,100009999
insertion-sort,Nearly Sorted,10000,56.312000000616536,1219109
binary-insertion-sort,Nearly Sorted,10000,41.92930000135675,858100
bubble-sort,Nearly Sorted,10000,2763.099700001476,100010001
shaker-sort,Nearly Sorted,10000,100.161800000933,1910881
shell-sort,Nearly Sorted,10000,29.46410000004107,468101
heap-sort,Nearly Sorted,10000,32.09220000280766,655839
merge-sort,Nearly Sorted,10000,21.696000003430527,284481
quick-sort,Nearly Sorted,10000,83.41539999673842,2207816
counting-sort,Nearly Sorted,10000,3.029300001799129,40002
radix-sort,Nearly Sorted,10000,9.875499999907333,80094
flash-sort,Nearly Sorted,10000,8.685599997988902,158748
selection-sort,Nearly Sorted,30000,21479.746299999533,900029999
insertion-sort,Nearly Sorted,30000,240.40850000164937,3798901
binary-insertion-sort,Nearly Sorted,30000,172.80459999892628,2744852
bubble-sort,Nearly Sorted,30000,28142.396800001734,900030001
shaker-sort,Nearly Sorted,30000,312.47479999728967,5990101
shell-sort,Nearly Sorted,30000,73.75429999956395,1219721
heap-sort,Nearly Sorted,30000,108.62359999737237,2200680
merge-sort,Nearly Sorted,30000,75.48239999596262,920885
quick-sort,Nearly Sorted,30000,1634.3025000023772,37647398
counting-sort,Nearly Sorted,30000,9.54309999360703,120002
radix-sort,Nearly Sorted,30000,37.399000000732485,300117
flash-sort,Nearly Sorted,30000,25.92269999877317,476741
selection-sort,Nearly Sorted,50000,66478.16469999816,2500049999
insertion-sort,Nearly Sorted,50000,404.5544999971753,6569013
binary-insertion-sort,Nearly Sorted,50000,319.5297999991453,4763346
bubble-sort,Nearly Sorted,50000,84507.14750000043,2500050001
shaker-sort,Nearly Sorted,50000,570.4824999993434,10788445
shell-sort,Nearly Sorted,50000,141.1491999970167,2263917
heap-sort,Nearly Sorted,50000,196.583400000236,3863550
merge-sort,Nearly Sorted,50000,128.50829999661073,1593377
quick-sort,Nearly Sorted,50000,3002.835300001607,89075306
counting-sort,Nearly Sorted,50000,14.277299997047521,200002
radix-sort,Nearly Sorted,50000,57.66289999883156,500117
flash-sort,Nearly Sorted,50000,42.547799996100366,794742
selection-sort,Nearly Sorted,100000,266687.0779000019,10000099999
insertion-sort,Nearly Sorted,100000,796.631699995487,13409749
binary-insertion-sort,Nearly Sorted,100000,647.8351999976439,9861772
bubble-sort,Nearly Sorted,100000,347745.5320000008,10000100001
shaker-sort,Nearly Sorted,100000,1153.0478999993647,22787119
shell-sort,Nearly Sorted,100000,264.0917000026093,4403105
heap-sort,Nearly Sorted,100000,415.4932000019471,8230889
merge-sort,Nearly Sorted,100000,272.96039999782806,3338307
quick-sort,Nearly Sorted,100000,10657.245000002149,340211434
counting-sort,Nearly Sorted,100000,29.42740000435151,400002
radix-sort,Nearly Sorted,100000,112.45599999529077,1000117
flash-sort,Nearly Sorted,100000,89.33439999964321,1589754
selection-sort,Nearly Sorted,300000,2428925.321499999,90000299999
insertion-sort,Nearly Sorted,300000,2450.3349000005983,42150869
binary-insertion-sort,Nearly Sorted,300000,2037.3953000016627,31495562
bubble-sort,Nearly Sorted,300000,3126730.6178,90000300001
shaker-sort,Nearly Sorted,300000,3346.20979999454,63588871
shell-sort,Nearly Sorted,300000,824.7320000009495,13740849
heap-sort,Nearly Sorted,300000,1359.088500001235,27049608
merge-sort,Nearly Sorted,300000,843.066400004318,10760051
quick-sort,Nearly Sorted,300000,64617.72320000455,1920147100
counting-sort,Nearly Sorted,300000,84.56809999916004,1200002
radix-sort,Nearly Sorted,300000,425.12669999996433,3600140
flash-sort,Nearly Sorted,300000,264.9345000027097,4769735
selection-sort,Nearly Sorted,500000,6706019.9966,250000499999
insertion-sort,Nearly Sorted,500000,4005.730200005928,67275701
binary-insertion-sort,Nearly Sorted,500000,3322.663900005864,51690336
bubble-sort,Nearly Sorted,500000,8670396.598200008,250000500001
shaker-sort,Nearly Sorted,500000,5740.754600003129,111987569
shell-sort,Nearly Sorted,500000,1518.4244000120088,24814381
heap-sort,Nearly Sorted,500000,2335.7649000099627,46830388
merge-sort,Nearly Sorted,500000,1403.4395999915432,18280951
quick-sort,Nearly Sorted,500000,97163.97019999567,3437065218
counting-sort,Nearly Sorted,500000,142.20449999265838,2000002
radix-sort,Nearly Sorted,500000,739.643499997328,6000140
flash-sort,Nearly Sorted,500000,440.07199999759905,7949746
selection-sort,Reversed,10000,1985.8359999925597,100009999
insertion-sort,Reversed,10000,5444.075499995961,100019998
binary-insertion-sort,Reversed,10000,3474.256100002094,50252260
bubble-sort,Reversed,10000,6161.132599998382,100010001
shaker-sort,Reversed,10000,6234.47570001008,100010005
shell-sort,Reversed,10000,848.5689999943133,12669950
heap-sort,Reversed,10000,30.93609999632463,611760
merge-sort,Reversed,10000,20.53079998586327,248219
quick-sort,Reversed,10000,3597.525699995458,100009998
counting-sort,Reversed,10000,4.0422000020043924,40003
radix-sort,Reversed,10000,12.62470000074245,100117
flash-sort,Reversed,10000,7.220100000267848,128752
selection-sort,Reversed,30000,24695.877799997106,900029999
insertion-sort,Reversed,30000,52364.65330001374,900059998
binary-insertion-sort,Reversed,30000,32414.179999992484,450849494
bubble-sort,Reversed,30000,55241.59820000932,900030001
shaker-sort,Reversed,30000,58093.70240000135,900030005
shell-sort,Reversed,30000,7601.072200006456,113009950
heap-sort,Reversed,30000,107.45870000391733,2074358
merge-sort,Reversed,30000,68.31070000771433,816731
quick-sort,Reversed,30000,32647.25819999876,900029998
counting-sort,Reversed,30000,9.241399995516986,120003
radix-sort,Reversed,30000,37.02790000534151,300117
flash-sort,Reversed,30000,20.55590000236407,386252
selection-sort,Reversed,50000,68269.74450000853,2500049999
insertion-sort,Reversed,50000,159518.70000000054,2500099998
binary-insertion-sort,Reversed,50000,88647.36200000334,1251493960
bubble-sort,Reversed,50000,159365.49399999785,2500050001
shaker-sort,Reversed,50000,163775.25009999226,2500050005
shell-sort,Reversed,50000,20851.460099991527,313349950
heap-sort,Reversed,50000,188.91969999822322,3640273
merge-sort,Reversed,50000,123.76049999147654,1416971
quick-sort,Reversed,50000,92402.99660000892,2500049998
counting-sort,Reversed,50000,14.730399998370558,200003
radix-sort,Reversed,50000,57.573599988245405,500117
flash-sort,Reversed,50000,34.35459999309387,643752
selection-sort,Reversed,100000,282875.5991999933,10000099999
insertion-sort,Reversed,100000,658909.9735999916,10000199998
binary-insertion-sort,Reversed,100000,378701.53770000616,5003187890
bubble-sort,Reversed,100000,648575.5671999941,10000100001
shaker-sort,Reversed,100000,671746.3620999915,10000100005
shell-sort,Reversed,100000,85929.11569999706,1251699950
heap-sort,Reversed,100000,397.4746000021696,7766769
merge-sort,Reversed,100000,240.33120000967756,2983947
quick-sort,Reversed,100000,358417.9082000046,10000099998
counting-sort,Reversed,100000,29.311699996469542,400003
radix-sort,Reversed,100000,136.02360000368208,1200140
flash-sort,Reversed,100000,72.73590000113472,1287502
selection-sort,Reversed,300000,2547601.651500008,90000299999
insertion-sort,Reversed,300000,6017275.275099994,90000599998
binary-insertion-sort,Reversed,300000,3457561.505400008,45010501462
bubble-sort,Reversed,300000,5923451.967999994,90000300001
shaker-sort,Reversed,300000,6111861.432899998,90000300005
shell-sort,Reversed,300000,831443.989700012,11255099950
heap-sort,Reversed,300000,1315.9634999901755,25702135
merge-sort,Reversed,300000,785.543999998481,9654155
quick-sort,Reversed,300000,3181816.866399997,90000299998
counting-sort,Reversed,300000,84.0197000070475,1200003
radix-sort,Reversed,300000,420.9363999980269,3600140
flash-sort,Reversed,300000,211.88570000231266,3862502
selection-sort,Reversed,500000,7084220.2706999965,250000499999
insertion-sort,Reversed,500000,16680796.703799991,250000999998
binary-insertion-sort,Reversed,500000,9743054.505999986,125018201462
bubble-sort,Reversed,500000,16394969.249499992,250000500001
shaker-sort,Reversed,500000,16994375.695099995,250000500005
shell-sort,Reversed,500000,2372117.0390000045,31258499950
heap-sort,Reversed,500000,2284.0495000127703,44695841
merge-sort,Reversed,500000,1380.5117000010796,16668203
quick-sort,Reversed,500000,8849647.119899979,250000499998
counting-sort,Reversed,500000,138.7791000015568,2000003
radix-sort,Reversed,500000,722.7539000159595,6000140
flash-sort,Reversed,500000,356.5445000131149,6437502
selection-sort,Randomized,10000,1950.0178000016604,100009999
insertion-sort,Randomized,10000,2597.416800010251,49773000
binary-insertion-sort,Randomized,10000,1844.553500006441,25134408
bubble-sort,Randomized,10000,4949.778599984711,100010001
shaker-sort,Randomized,10000,4171.18040000787,74583195
shell-sort,Randomized,10000,471.07619998860173,7072590
heap-sort,Randomized,10000,33.38979999534786,633610
merge-sort,Randomized,10000,23.933300020871684,304089
quick-sort,Randomized,10000,13.726299977861345,312044
counting-sort,Randomized,10000,2.9137000092305243,40002
radix-sort,Randomized,10000,10.185599996475503,80094
flash-sort,Randomized,10000,6.6223000176250935,123348
selection-sort,Randomized,30000,21841.907900001388,900029999
insertion-sort,Randomized,30000,27294.221699994523,449169288
binary-insertion-sort,Randomized,30000,16883.221199997934,225424227
bubble-sort,Randomized,30000,45251.44140000339,900030001
shaker-sort,Randomized,30000,38078.33920000121,676153595
shell-sort,Randomized,30000,4214.965199993458,61539192
heap-sort,Randomized,30000,136.81930000893772,2136728
merge-sort,Randomized,30000,79.05940001364797,1005800
quick-sort,Randomized,30000,56.37979999301024,1089604
counting-sort,Randomized,30000,10.141099977772683,120002
radix-sort,Randomized,30000,36.206599994329736,300117
flash-sort,Randomized,30000,21.658899990143254,381476
selection-sort,Randomized,50000,66168.85590000311,2500049999
insertion-sort,Randomized,50000,76216.28110000165,1241973008
binary-insertion-sort,Randomized,50000,45578.25260001118,622459230
bubble-sort,Randomized,50000,131647.06379998825,2500050001
shaker-sort,Randomized,50000,108792.98250001739,1867602949
shell-sort,Randomized,50000,11192.592500010505,162425714
heap-sort,Randomized,50000,192.69539997912943,3749599
merge-sort,Randomized,50000,140.10859999689274,1752654
quick-sort,Randomized,50000,85.12520001386292,1875364
counting-sort,Randomized,50000,16.51680000941269,200001
radix-sort,Randomized,50000,58.27700000372715,500117
flash-sort,Randomized,50000,41.05800000252202,682701
selection-sort,Randomized,100000,284210.0865000102,10000099999
insertion-sort,Randomized,100000,336522.34269998735,5005958773
binary-insertion-sort,Randomized,100000,198392.87780001177,2506124846
bubble-sort,Randomized,100000,550867.60279999,10000100001
shaker-sort,Randomized,100000,459931.9508000044,7509640881
shell-sort,Randomized,100000,44240.27420001221,649289401
heap-sort,Randomized,100000,412.7978000033181,7999053
merge-sort,Randomized,100000,300.769900000887,3705175
quick-sort,Randomized,100000,178.668500011554,4061388
counting-sort,Randomized,100000,34.9729000008665,400000
radix-sort,Randomized,100000,112.43069998454303,1000117
flash-sort,Randomized,100000,71.82740001007915,1240573
selection-sort,Randomized,300000,2520577.6243000003,90000299999
insertion-sort,Randomized,300000,3173177.6123999734,44989233848
binary-insertion-sort,Randomized,300000,1908393.7115000153,22504999905
bubble-sort,Randomized,300000,5061705.597399996,90000300001
shaker-sort,Randomized,300000,4259130.018600001,67540332179
shell-sort,Randomized,300000,433336.5563999978,5707066316
heap-sort,Randomized,300000,1376.9064999942202,26353673
merge-sort,Randomized,300000,916.6565000195988,12059978
quick-sort,Randomized,300000,585.293099982664,13641252
counting-sort,Randomized,300000,109.59169999114238,1200002
radix-sort,Randomized,300000,450.8074999903329,3600140
flash-sort,Randomized,300000,241.58279999392107,3761179
selection-sort,Randomized,500000,8019619.257000013,250000499999
insertion-sort,Randomized,500000,9291086.383499991,124948951805
binary-insertion-sort,Randomized,500000,5624244.294799981,62492523608
bubble-sort,Randomized,500000,15004296.338999994,250000500001
shaker-sort,Randomized,500000,13041878.36599999,187471246579
shell-sort,Randomized,500000,1325763.003400003,15792049214
heap-sort,Randomized,500000,2433.1253999844193,45743547
merge-sort,Randomized,500000,1618.2994999689981,20813570
quick-sort,Randomized,500000,1147.0888999756426,24376930
counting-sort,Randomized,500000,210.9059999929741,2000002
radix-sort,Randomized,500000,871.8191999942064,6000140
flash-sort,Randomized,500000,471.6274999664165,6454538
